EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 26-03-2018
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 HU   : daily Humidity in 1 %
23-27 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, BORDEAUX-MERIGNAC (STAID: 34).
Blended and updated with sources: 175646 907510 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   HU, Q_HU
175646,19220212,   83,    0
175646,19220213,   91,    0
175646,19220214,   75,    0
175646,19220215,   66,    0
175646,19220216,   80,    0
175646,19220217,   47,    0
175646,19220218,   83,    0
175646,19220219,   92,    0
175646,19220220,   79,    0
175646,19220221,   92,    0
175646,19220222,   81,    0
175646,19220223,   78,    0
175646,19220224,   74,    0
175646,19220225,   40,    0
175646,19220226,   66,    0
175646,19220227,   81,    0
175646,19220228,   52,    0
175646,19220301,   67,    0
175646,19220302,   67,    0
175646,19220303,   63,    0
175646,19220304,   70,    0
175646,19220305,   62,    0
175646,19220306,   41,    0
175646,19220307,   82,    0
175646,19220308,   82,    0
175646,19220309,   88,    0
175646,19220310,   89,    0
175646,19220311,   79,    0
175646,19220312,   82,    0
175646,19220313,   83,    0
175646,19220314,   60,    0
175646,19220315,   49,    0
175646,19220316,   66,    0
175646,19220317,   53,    0
175646,19220318,   82,    0
175646,19220319,   88,    0
175646,19220320,   94,    0
175646,19220321,   70,    0
175646,19220322,   79,    0
175646,19220323,   79,    0
175646,19220324,   78,    0
175646,19220325,   90,    0
175646,19220326,   79,    0
175646,19220327,   88,    0
175646,19220328,   66,    0
175646,19220329,   56,    0
175646,19220330,   58,    0
175646,19220331,   95,    0
175646,19220401,   87,    0
175646,19220402,   88,    0
175646,19220403,   74,    0
175646,19220404,   76,    0
175646,19220405,   98,    0
175646,19220406,   63,    0
175646,19220407,   84,    0
175646,19220408,   86,    0
175646,19220409,   60,    0
175646,19220410,   95,    0
175646,19220411,   71,    0
175646,19220412,   49,    0
175646,19220413,   45,    0
175646,19220414,   51,    0
175646,19220415,   85,    0
175646,19220416,   73,    0
175646,19220417,   80,    0
175646,19220418,   51,    0
175646,19220419,   86,    0
175646,19220420,   78,    0
175646,19220421,   64,    0
175646,19220422,   74,    0
175646,19220423,   59,    0
175646,19220424,   77,    0
175646,19220425,   95,    0
175646,19220426,   80,    0
175646,19220427,   68,    0
175646,19220428,   64,    0
175646,19220429,   63,    0
175646,19220430,   59,    0
175646,19220501,   73,    0
175646,19220502,   71,    0
175646,19220503,   86,    0
175646,19220504,   81,    0
175646,19220505,   52,    0
175646,19220506,   39,    0
175646,19220507,   32,    0
175646,19220508,   37,    0
175646,19220509,   36,    0
175646,19220510,   40,    0
175646,19220511,   55,    0
175646,19220512,   59,    0
175646,19220513,   53,    0
175646,19220514,   38,    0
175646,19220515,   47,    0
175646,19220516,   48,    0
175646,19220517,   93,    0
175646,19220518,   56,    0
175646,19220519,   46,    0
175646,19220520,   44,    0
175646,19220521,   46,    0
175646,19220522,   39,    0
175646,19220523,   46,    0
175646,19220524,   40,    0
175646,19220525,   69,    0
175646,19220526,   61,    0
175646,19220527,   37,    0
175646,19220528,   36,    0
175646,19220529,   42,    0
175646,19220530,   39,    0
175646,19220531,   44,    0
175646,19220601,   49,    0
175646,19220602,   72,    0
175646,19220603,   58,    0
175646,19220604,   50,    0
175646,19220605,   40,    0
175646,19220606,   56,    0
175646,19220607,   67,    0
175646,19220608,   61,    0
175646,19220609,   79,    0
175646,19220610,   65,    0
175646,19220611,   55,    0
175646,19220612,   43,    0
175646,19220613,   66,    0
175646,19220614,   78,    0
175646,19220615,   88,    0
175646,19220616,   52,    0
175646,19220617,   74,    0
175646,19220618,   53,    0
175646,19220619,   46,    0
175646,19220620,   50,    0
175646,19220621,   50,    0
175646,19220622,   56,    0
175646,19220623,   53,    0
175646,19220624,   60,    0
175646,19220625,   90,    0
175646,19220626,   57,    0
175646,19220627,   51,    0
175646,19220628,   74,    0
175646,19220629,   68,    0
175646,19220630,   40,    0
175646,19220701,   26,    0
175646,19220702,   60,    0
175646,19220703,   50,    0
175646,19220704,   61,    0
175646,19220705,   48,    0
175646,19220706,   66,    0
175646,19220707,   81,    0
175646,19220708,   55,    0
175646,19220709,   56,    0
175646,19220710,   51,    0
175646,19220711,   48,    0
175646,19220712,   47,    0
175646,19220713,   51,    0
175646,19220714,   92,    0
175646,19220715,   71,    0
175646,19220716,   53,    0
175646,19220717,   52,    0
